feature,doc_freq,total_count,n_ms,variant_likelihood
ṣ̌ inserted,4,21,4,0.7327030426918826
t̰ inserted,3,6,3,0.7813451522439587
āi for m,3,7,3,0.8130543613597753
ō for ā̊,3,5,3,0.7903054721538801
u for o,3,24,3,0.8011234729680438
ɱ for m,3,20,3,0.8636837923738167
ń for o,3,3,3,0.7562146819045672
d for h,3,4,3,0.7744759411404606
t̰ for δ,3,4,3,0.7744759411404606
a for h,3,3,3,0.7562146819045672
ōi inserted,3,3,3,0.7562146819045672
c for j,3,5,3,0.7903054721538801
r for h,3,4,3,0.7744759411404606
ŋ for a,3,4,3,0.7744759411404606
n for t,3,5,3,0.7705156393620193
n for r,3,4,3,0.7744759411404606
ə for ā,3,4,3,0.7744759411404606
t for δ,3,5,3,0.7903054721538801
x for xᵛ,3,7,3,0.7912975516959069
u for v,3,3,3,0.7562146819045672
b for β,3,4,3,0.7744759411404606
ē for a,3,4,3,0.7744759411404606
c for t,3,5,3,0.7705156393620193
ōi for o,2,7,2,0.9386522159315634
s for m,2,3,2,0.947766263707773
ą for m,2,6,2,0.934027841500776
i for o,2,4,2,0.9587651324906024
t for v,2,3,2,0.947766263707773
a for t,2,3,2,0.947766263707773
ą̇ inserted,2,6,2,0.934027841500776
d for m,2,6,2,0.9731492083156194
āi for t,2,3,2,0.947766263707773
ai for ā̊,2,4,2,0.934027841500776
xᵛ for x́,2,107,2,1.0
n for c,2,3,2,0.947766263707773
x́ for xᵛ,2,8,2,0.9587651324906024
ō for ā,2,5,2,0.9669335030887188
u for p,2,5,2,0.9669335030887188
r for z,2,3,2,0.947766263707773
xᵛ for x,2,5,2,0.9669335030887188
p for β,2,3,2,0.947766263707773
āu deleted,2,5,2,0.941024295263871
ə for ą̇,2,6,2,0.947766263707773
ŋᵛ for ŋ́,2,3,2,0.947766263707773
x for h,2,3,2,0.947766263707773
āi for a,2,4,2,0.934027841500776
ā̊ for āi,2,4,2,0.934027841500776
i for m,2,3,2,0.947766263707773
i for r,2,3,2,0.947766263707773
u for āu,2,3,2,0.947766263707773
ai for m,2,7,2,0.9386522159315634
