locus,feature,ms_list,app_xml_stub
corpus,a for h,"5,60,83","<app><rdg wit=""#5 #60 #83"">a for h</rdg></app>"
corpus,a for t,"6,88","<app><rdg wit=""#6 #88"">a for t</rdg></app>"
corpus,ai for m,"6,60","<app><rdg wit=""#6 #60"">ai for m</rdg></app>"
corpus,ai for ā̊,"400,410","<app><rdg wit=""#400 #410"">ai for ā̊</rdg></app>"
corpus,b for β,"400,410,60","<app><rdg wit=""#400 #410 #60"">b for β</rdg></app>"
corpus,c for j,"15,60,83","<app><rdg wit=""#15 #60 #83"">c for j</rdg></app>"
corpus,c for t,"400,6,88","<app><rdg wit=""#400 #6 #88"">c for t</rdg></app>"
corpus,d for h,"410,60,83","<app><rdg wit=""#410 #60 #83"">d for h</rdg></app>"
corpus,d for m,"83,88","<app><rdg wit=""#83 #88"">d for m</rdg></app>"
corpus,i for m,"410,83","<app><rdg wit=""#410 #83"">i for m</rdg></app>"
corpus,i for o,"400,410","<app><rdg wit=""#400 #410"">i for o</rdg></app>"
corpus,i for r,"400,5","<app><rdg wit=""#400 #5"">i for r</rdg></app>"
corpus,n for c,"6,60","<app><rdg wit=""#6 #60"">n for c</rdg></app>"
corpus,n for r,"410,510,60","<app><rdg wit=""#410 #510 #60"">n for r</rdg></app>"
corpus,n for t,"410,6,88","<app><rdg wit=""#410 #6 #88"">n for t</rdg></app>"
corpus,p for β,"410,60","<app><rdg wit=""#410 #60"">p for β</rdg></app>"
corpus,r for h,"60,83,88","<app><rdg wit=""#60 #83 #88"">r for h</rdg></app>"
corpus,r for z,"400,83","<app><rdg wit=""#400 #83"">r for z</rdg></app>"
corpus,s for m,"510,60","<app><rdg wit=""#510 #60"">s for m</rdg></app>"
corpus,t for v,"410,88","<app><rdg wit=""#410 #88"">t for v</rdg></app>"
corpus,t for δ,"15,510,83","<app><rdg wit=""#15 #510 #83"">t for δ</rdg></app>"
corpus,t̰ for δ,"15,400,410","<app><rdg wit=""#15 #400 #410"">t̰ for δ</rdg></app>"
corpus,t̰ inserted,"15,6,60","<app><rdg wit=""#15 #6 #60"">t̰ inserted</rdg></app>"
corpus,u for o,"400,410,60","<app><rdg wit=""#400 #410 #60"">u for o</rdg></app>"
corpus,u for p,"510,83","<app><rdg wit=""#510 #83"">u for p</rdg></app>"
corpus,u for v,"5,6,60","<app><rdg wit=""#5 #6 #60"">u for v</rdg></app>"
corpus,u for āu,"400,60","<app><rdg wit=""#400 #60"">u for āu</rdg></app>"
corpus,x for h,"410,6","<app><rdg wit=""#410 #6"">x for h</rdg></app>"
corpus,x for xᵛ,"15,6,83","<app><rdg wit=""#15 #6 #83"">x for xᵛ</rdg></app>"
corpus,x́ for xᵛ,"400,88","<app><rdg wit=""#400 #88"">x́ for xᵛ</rdg></app>"
corpus,xᵛ for x,"410,6","<app><rdg wit=""#410 #6"">xᵛ for x</rdg></app>"
corpus,xᵛ for x́,"40,410","<app><rdg wit=""#40 #410"">xᵛ for x́</rdg></app>"
corpus,āi for a,"5,88","<app><rdg wit=""#5 #88"">āi for a</rdg></app>"
corpus,āi for m,"400,83,88","<app><rdg wit=""#400 #83 #88"">āi for m</rdg></app>"
corpus,āi for t,"400,60","<app><rdg wit=""#400 #60"">āi for t</rdg></app>"
corpus,āu deleted,"510,83","<app><rdg wit=""#510 #83"">āu deleted</rdg></app>"
corpus,ā̊ for āi,"60,83","<app><rdg wit=""#60 #83"">ā̊ for āi</rdg></app>"
corpus,ą for m,"400,410","<app><rdg wit=""#400 #410"">ą for m</rdg></app>"
corpus,ą̇ inserted,"400,410","<app><rdg wit=""#400 #410"">ą̇ inserted</rdg></app>"
corpus,ē for a,"400,410,6","<app><rdg wit=""#400 #410 #6"">ē for a</rdg></app>"
corpus,ń for o,"400,410,510","<app><rdg wit=""#400 #410 #510"">ń for o</rdg></app>"
corpus,ŋ for a,"400,83,88","<app><rdg wit=""#400 #83 #88"">ŋ for a</rdg></app>"
corpus,ŋᵛ for ŋ́,"15,88","<app><rdg wit=""#15 #88"">ŋᵛ for ŋ́</rdg></app>"
corpus,ō for ā,"410,60","<app><rdg wit=""#410 #60"">ō for ā</rdg></app>"
corpus,ō for ā̊,"5,6,60","<app><rdg wit=""#5 #6 #60"">ō for ā̊</rdg></app>"
corpus,ōi for o,"400,410","<app><rdg wit=""#400 #410"">ōi for o</rdg></app>"
corpus,ōi inserted,"5,60,88","<app><rdg wit=""#5 #60 #88"">ōi inserted</rdg></app>"
corpus,ə for ā,"6,83,88","<app><rdg wit=""#6 #83 #88"">ə for ā</rdg></app>"
corpus,ə for ą̇,"400,410","<app><rdg wit=""#400 #410"">ə for ą̇</rdg></app>"
corpus,ɱ for m,"410,5,83","<app><rdg wit=""#410 #5 #83"">ɱ for m</rdg></app>"
corpus,ṣ̌ inserted,"15,400,5,510","<app><rdg wit=""#15 #400 #5 #510"">ṣ̌ inserted</rdg></app>"
